Project name,Specifications(BHK),area,Floor,Value
Yashwant Avenue,1 BHK 364 Sq-ft Flat,364 sqft,"Granite, Marbonite",30.6 Lac
Integrated Arya,1 BHK 443 Sq-ft Flat,443 sqft,NA,1.03 Cr
Purva Clermont,2 BHK 533 Sq-ft Flat,NA,Vitrified,1.90 Cr
Ornate Heights Annex,1 BHK 444 Sq-ft Flat,444 sqft,NA,36.5 Lac
Sarova The ExperienCity,2 BHK 700 Sq-ft Flat,700 sqft,"Vitrified, Wooden, Marble",1.81 Cr
Silicon Hofe,2 BHK 622 Sq-ft Flat,NA,"Vitrified, Ceramic Tiles",1.54 Cr
Runwal Sanctuary,2 BHK 690 Sq-ft Flat,690 sqft,Vitrified,1.49 Cr
Piramal Mahalaxmi,,1128 sqft,NA,
Roha Vatika,1 BHK 401 Sq-ft Flat,401 sqft,Vitrified,88.5 Lac
Centrico,,1308 sqft,48,
TW Gardens,2 BHK 785 Sq-ft Flat,785 sqft,Granite,1.91 Cr
Astrum,,799 sqft,"Vitrified, Wooden, Marble",
Aria Park,2 BHK 716 Sq-ft Flat,716 sqft,"Vitrified, Wooden",1.53 Cr
Sunteck City 4th Avenue,,968 sqft,NA,
Passcode Beverly Hills,2 BHK 615 Sq-ft Flat,615 sqft,NA,1.29 Cr
M Baria Everest,1 BHK 410 Sq-ft Flat,NA,2 (Out of 14 Floors),38.0 Lac
F Residences Malad,2 BHK 729 Sq-ft Flat,729 sqft,37,1.75 Cr
Eminente,1 BHK 368 Sq-ft Flat,368 sqft,NA,81.4 Lac
Thapar Suburbia,,1455 sqft,19,
